시점,대한민국,중국,일본,미국
1995,11820,540,42570,29040
1996,13320,650,43940,30270
1997,13550,750,40760,31270
1998,10330,800,35010,32030
1999,10430,860,34320,33680
2000,11030,940,36810,35960
2001,11950,1010,37380,36700
2002,12850,1110,35360,37310
2003,13790,1280,35660,39750
2004,16200,1510,39000,43510
2005,18520,1760,41280,46180
2006,20800,2060,40590,47830
2007,23440,2510,39310,48500
2008,23860,3100,39380,49100
2009,22040,3680,39230,47870
2010,22290,4340,43910,49150
2011,23590,5040,47470,50620
2012,25660,5910,50060,52790
2013,26980,6740,48850,53990
2014,28160,7470,44440,55800
2015,28720,7890,39380,56620
2016,29330,8210,38460,57140
2017,30300,8670,38930,59250
2018,32750,9540,41770,63490
2019,33830,10310,42010,65970
2020,32930,10530,40810,64140
2021,34980,11890,42620,70430
