,연월,무역수지
0,201501월,"5,822"
1,201502월,"7,474"
2,201503월,"8,337"
3,201504월,"8,363"
4,201505월,"6,287"
5,201506월,"9,957"
6,201507월,"7,049"
7,201508월,"4,335"
8,201509월,"8,891"
9,201510월,"6,589"
10,201511월,"10,235"
11,201512월,"6,918"
12,201601월,"4,938"
13,201602월,"6,762"
14,201603월,"9,658"
15,201604월,"8,693"
16,201605월,"6,709"
17,201606월,"11,319"
18,201607월,"7,510"
19,201608월,"5,021"
20,201609월,"6,858"
21,201610월,"6,933"
22,201611월,"8,068"
23,201612월,"6,765"
24,201701월,"2,612"
25,201702월,"6,964"
26,201703월,"6,059"
27,201704월,"12,885"
28,201705월,"5,639"
29,201706월,"10,721"
30,201707월,"10,223"
31,201708월,"6,556"
32,201709월,"13,419"
33,201710월,"6,934"
34,201711월,"7,693"
35,201712월,"5,511"
36,201801월,"3,416"
37,201802월,"2,801"
38,201803월,"6,412"
39,201804월,"6,156"
40,201805월,"6,229"
41,201806월,"6,079"
42,201807월,"6,893"
43,201808월,"6,820"
44,201809월,"9,617"
45,201810월,"6,380"
46,201811월,"4,671"
47,201812월,"4,182"
48,201901월,"1,016"
49,201902월,"2,830"
50,201903월,"5,011"
51,201904월,"3,734"
52,201905월,"2,084"
53,201906월,"3,904"
54,201907월,"2,316"
55,201908월,"1,563"
56,201909월,"5,888"
57,201910월,"5,252"
58,201911월,"3,312"
59,201912월,"1,981"
60,202001월,385
61,202002월,"3,935"
62,202003월,"4,363"
63,202004월,"-1,663"
64,202005월,193
65,202006월,"3,419"
66,202007월,"3,936"
67,202008월,"3,651"
68,202009월,"8,420"
69,202010월,"5,725"
70,202011월,"5,807"
71,202012월,"6,694"
72,202101월,"3,550"
73,202102월,"2,302"
74,202103월,"3,948"
75,202104월,335
76,202105월,"2,814"
77,202106월,"4,350"
78,202107월,"1,786"
79,202108월,"1,584"
80,202109월,"4,278"
81,202110월,"1,812"
82,202111월,"2,973"
83,202112월,-426
84,202201월,"-4,742"
85,202202월,901
86,202203월,212
87,202204월,"-2,508"
88,202205월,"-1,614"
89,202206월,"-2,487"
90,202207월,"-4,805"
